No,region,경도,위도
169,돋질로140번길 3,129.321317832428,35.5395243984646
170,왕생로154번길 10,129.328918017187,35.5469360707229
171,지당4길 4,129.355506810589,35.6026727183014
172,내황4길 44,129.344129655501,35.5521945151736
173,대학로121번길 52,129.255879297903,35.5477903762613
174,구영로 208,129.247855729362,35.5660483459232
175,종가5길 64,129.296391684272,35.5597993844449
176,장촌2길 25-13,129.152257910693,35.5498690936202
177,장생포고래로231번길 4-5,129.379718666912,35.5036215287594
178,번영로156번길 7,129.32867041109,35.5394816106914
179,두부곡5길 29,129.368931988883,35.5875922505111
180,봉수로 253,129.420752375724,35.5093973159574
181,용바위1길 40,129.45650185975,35.5823274926752
182,양지5길 12-12,129.420784991741,35.4956768247921
183,함월3길 31,129.304772099724,35.5756399948409
184,대학로21번길 5,129.254751129493,35.5382876028608
185,이전당지길 149,129.228149751307,35.655748847223
186,곽남11안길 37,129.342079023917,35.5744660730807
187,연암10길 12,129.371039254653,35.5845287017802
188,장검길 95,129.252432699483,35.5510616755098
189,고헌로 206,129.354936418739,35.5648940969527
190,대공원로237번길 9,129.30635064943,35.5311743490979
191,성끝4길 116,129.433109333633,35.4816905493975
192,거마로118번길 3,129.303172667542,35.5395717797363
193,북부순환도로1번길 36-1,129.261100318156,35.5527338945996
194,방어진순환도로 574,129.426899913159,35.4930064017105
196,봉월로 99,129.305553081398,35.541350906663
197,상서3길 21,129.291501620784,35.4210687032882
198,지화1길 6,129.091414636861,35.579453288877
199,서영남3길 19,129.305082428846,35.4388285390567
200,상방1길 17-2,128.325170533323,36.9344698339144
201,화잠5길 48,129.411816257536,35.4830720197438
202,지내신리길 8,129.110633040422,35.5978986162215
